fips,year,wuiClass,variable,value
6031,1975,7,num houses,13420
6031,1975,total,num houses,29723
6031,1985,1,num houses,0
6031,1985,2,num houses,0
6031,1985,3,num houses,275
6031,1985,4,num houses,1235
6031,1985,5,num houses,2897
6031,1985,6,num houses,9830
6031,1985,7,num houses,19390
6031,1985,total,num houses,33627
6031,1995,1,num houses,0
6031,1995,2,num houses,0
6031,1995,3,num houses,275
6031,1995,4,num houses,1236
6031,1995,5,num houses,2934
6031,1995,6,num houses,10695
6031,1995,7,num houses,23358
6031,1995,total,num houses,38498
6031,2005,1,num houses,0
6031,2005,2,num houses,0
6031,2005,3,num houses,275
6031,2005,4,num houses,1237
6031,2005,5,num houses,2959
6031,2005,6,num houses,11426
6031,2005,7,num houses,28620
6031,2005,total,num houses,44517
6031,2015,1,num houses,0
6031,2015,2,num houses,0
6031,2015,3,num houses,275
6031,2015,4,num houses,1039
6031,2015,5,num houses,3189
6031,2015,6,num houses,11965
6031,2015,7,num houses,32090
6031,2015,total,num houses,48558
6031,2019,1,num houses,0
6031,2019,2,num houses,0
6031,2019,3,num houses,275
6031,2019,4,num houses,1039
6031,2019,5,num houses,3191
6031,2019,6,num houses,12095
6031,2019,7,num houses,32632
6031,2019,total,num houses,49232
6033,1975,1,num houses,0
6033,1975,2,num houses,120
6033,1975,3,num houses,658
6033,1975,4,num houses,1462
6033,1975,5,num houses,2251
6033,1975,6,num houses,10385
6033,1975,7,num houses,36831
6033,1975,total,num houses,51707
6033,1985,1,num houses,0
6033,1985,2,num houses,120
6033,1985,3,num houses,662
6033,1985,4,num houses,1289
6033,1985,5,num houses,2615
6033,1985,6,num houses,11803
6033,1985,7,num houses,39592
6033,1985,total,num houses,56081
6033,1995,1,num houses,0
6033,1995,2,num houses,121
6033,1995,3,num houses,667
6033,1995,4,num houses,1121
6033,1995,5,num houses,2473
6033,1995,6,num houses,11054
6033,1995,7,num houses,44908
6033,1995,total,num houses,60344
6033,2005,1,num houses,0
6033,2005,2,num houses,121
6033,2005,3,num houses,667
6033,2005,4,num houses,939
6033,2005,5,num houses,2746
6033,2005,6,num houses,5448
6033,2005,7,num houses,52820
6033,2005,total,num houses,62741
6033,2015,1,num houses,0
6033,2015,2,num houses,121
6033,2015,3,num houses,671
6033,2015,4,num houses,953
6033,2015,5,num houses,2813
6033,2015,6,num houses,5671
6033,2015,7,num houses,55251
6033,2015,total,num houses,65480
6033,2019,1,num houses,0
6033,2019,2,num houses,121
6033,2019,3,num houses,672
6033,2019,4,num houses,953
6033,2019,5,num houses,2813
6033,2019,6,num houses,5676
6033,2019,7,num houses,55265
6033,2019,total,num houses,65500
6035,1975,1,num houses,173
6035,1975,2,num houses,697
6035,1975,3,num houses,3639
6035,1975,4,num houses,3623
6035,1975,5,num houses,5016
6035,1975,6,num houses,5934
6035,1975,7,num houses,3543
6035,1975,total,num houses,22625
6035,1985,1,num houses,173
6035,1985,2,num houses,701
6035,1985,3,num houses,3660
6035,1985,4,num houses,3486
6035,1985,5,num houses,4516
6035,1985,6,num houses,7633
6035,1985,7,num houses,3884
6035,1985,total,num houses,24053
6035,1995,1,num houses,173
6035,1995,2,num houses,702
6035,1995,3,num houses,3575
6035,1995,4,num houses,3413
6035,1995,5,num houses,4871
6035,1995,6,num houses,8175
6035,1995,7,num houses,4313
6035,1995,total,num houses,25222
6035,2005,1,num houses,175
6035,2005,2,num houses,702
6035,2005,3,num houses,3594
6035,2005,4,num houses,3471
6035,2005,5,num houses,4553
6035,2005,6,num houses,9198
6035,2005,7,num houses,4737
6035,2005,total,num houses,26430
6035,2015,1,num houses,176
6035,2015,2,num houses,655
6035,2015,3,num houses,3653
6035,2015,4,num houses,3503
6035,2015,5,num houses,4627
6035,2015,6,num houses,9463
6035,2015,7,num houses,4919
